Key,SF_ID-1,SF_ID-2,Customer Name,Street,City,State,Country.region,ZIP,FIPS,lat,long,SalesPerson,Count of YM,Max of YM,Min of YM,Current Customer,Months Since Last Purchase, TotalSales_L12M , SalesPerMonth ,Bucket
2490,00160000010Q8C5AAK,,Intracoastal Yacht Sales - SC,"720 Highway 17, Suite 201",Little River,SC,USA,29566,45051,33.866117,-78.639949,Christopher Thomas,12,201608,201509,1,0," $5,775 ", $481 ,4
3442,00160000010QB2eAAG,,VS Marine,3380 El Camino Real,Atascadero,CA,USA,93422,06079,35.474913,-120.676,MWS,7,201603,201509,0,5," $3,367 ", $481 ,4
809,00160000010Q52vAAC,,Ireland Yacht Sales - Sanibel,634 N. Yachtsman Drive,Sanibel,FL,USA,33957,12071,26.450842,-82.029087,Whit Hall,12,201608,201509,1,0," $5,771 ", $481 ,4
2899,00160000010Q4XnAAK,,West Yachts pka Voyager Yachts,1019 Q Ave|Ste D,Anacortes,WA,USA,98221,53057,48.514018,-122.61097,Kirk Lamb,12,201608,201509,1,0," $5,771 ", $481 ,4
316,00160000010Q4grAAC,,"Smugglers Cove Yachts, Inc DBA Larry Dudley Yacht Sales",PO Box 1195,Simi Valley,CA,USA,93062,06111,34.032383,-119.1343,Roger Omalley,4,201512,201509,0,8," $1,923 ", $481 ,4
681,00160000010Q5toAAC,,Fisherman's Boat Group aka JetSki Miami dba Recovery Perf.Marine&Sales,3800 NW 27th Avenue,Miami,FL,USA,33142,12025,25.810959,-80.240303,Whit Hall,7,201603,201509,0,5," $3,363 ", $480 ,4
806,00160000010QJZYAA4,,"Backwater Marine & Auto, Inc.",2020 NW 1st Place,Cape Coral,FL,USA,33993,12071,26.70917,-81.975788,Whit Hall,6,201602,201509,0,6," $2,882 ", $480 ,4
948,0013200001A36WNAAZ,,Gulfstream Yacht Sales,2520 Embassy Drive,West Palm Beach,FL,USA,33401,12099,26.736966,-80.079865,Whit Hall,7,201603,201509,0,5," $3,362 ", $480 ,4
3200,00160000010R6pcAAC,,Coast to Coast Yacht Sales,116 Benway Drive,Somerset,KY,USA,42501,21199,37.075624,-84.54437,dbird,11,201607,201509,0,1," $5,283 ", $480 ,4
3734,00160000010QA5KAAW,,Wide World Boats,6875 46 Avenue North,Saint Petersburg,FL,USA,33709,12103,27.820082,-82.730798,Nickeshia Bowen,5,201608,201604,1,0," $2,401 ", $480 ,4
1194,00160000010Q4kKAAS,,Sailboat Sales Co,3434 E. 95th St.,Chicago,IL,USA,60617,17031,41.722955,-87.541688,Kirk Lamb,12,201608,201509,1,0," $5,762 ", $480 ,4
959,00160000010QG4xAAG,,Atlantis Yacht Sales,4739 Cadiz Circle,Palm Beach Gardens,FL,USA,33418,12099,26.823294,-80.110666,Whit Hall,12,201608,201509,1,0," $5,761 ", $480 ,4
3303,00160000010Q6n7AAC,,Dri-Port Marine,300 lake Bluff Dr.,O Fallon,MO,USA,63366,29183,38.786335,-90.72121,ckelley,4,201512,201509,0,8," $1,920 ", $480 ,4
3676,00160000010QBxhAAG,,USA Yacht Sales Inc,941 Avon Road,West Palm Beach,FL,USA,33401,12099,26.691467,-80.063275,Alastair Walton,6,201608,201603,1,0," $2,879 ", $480 ,4
2703,00160000010QBfLAAW,,Sartin Marine,290 Farm Road 1567,Yantis,TX,USA,75497,48499,32.997937,-95.937383,Lisa Brownell,12,201608,201509,1,0," $5,757 ", $480 ,4
3579,00160000010Q80nAAC,,Tartan Yacht aka Hanover Marine,1920 Fairport Nursery Rd,Painesville,OH,USA,44077,39085,41.750824,-81.268418,Jason White,9,201608,201512,1,0," $4,317 ", $480 ,4
3596,0013200001E4xy7AAB,,Vision Yacht Group,9612 Glen Point Drive,Riverview,FL,USA,33569,12057,27.858458,-82.295377,Brooks Mclean,8,201608,201601,1,0," $3,837 ", $480 ,4
1819,00160000010Q6G6AAK,,Hooper's Yachts,599 Manning Avenue South,Afton,MN,USA,55001,27163,44.939911,-92.862588,Kirk Lamb,12,201608,201509,1,0," $5,753 ", $479 ,4
338,00160000010Q8VnAAK,,Boatmax,476 Candlewood Lake Rd,Brookfield,CT,USA,06804,09001,41.483658,-73.434445,Cheyanna Shoaf,12,201608,201509,1,0," $5,749 ", $479 ,4
2957,00160000010Q4TJAA0,,"SI Marine aka Sailboats Inc, Superior",250 Marina Drive,Superior,WI,USA,54880,55031,46.720628,-92.06046,Kirk Lamb,12,201608,201509,1,0," $5,749 ", $479 ,4
3417,00160000010Q68bAAC,,Precision Unc.,2199 N. Woodruff,Idaho Falls,ID,USA,83401,16019,43.528891,-111.98136,ckelley,12,201608,201509,1,0," $5,749 ", $479 ,4
1465,00160000010Q5Q2AAK,,"Jonathan Foster Yacht Sales, Inc.",2818-B Solomons Island Road,Edgewater,MD,USA,21037,24003,38.956066,-76.551905,Scott Rhodes,12,201608,201509,1,0," $5,745 ", $479 ,4
1419,00160000010Q5akAAC,,Mid Coast Yachts,"4815 Riverside Dr., #101",Galesville,MD,USA,20765,24003,38.843916,-76.539191,Scott Rhodes,12,201608,201509,1,0," $5,743 ", $479 ,4
2445,00160000010Q4y1AAC,,"Watch Hill Yachts, LLC",3 India Point Road,Westerly,RI,USA,02891,44009,41.334387,-71.835482,Jason White,12,201608,201509,1,0," $5,743 ", $479 ,4
3547,00160000010Q6U3AAK,,Four Seasons Sport & Marine 92954 TMG,"Four Seasons Sports Center

1600 E Saint Patrick St",Rapid City,SD,USA,57703,46103,44.067489,-103.19168,Sarah Gregory,10,201608,201511,1,0," $4,784 ", $478 ,4
2875,0013200001BP145AAD,,Allstate Yacht Sales,11621 Burnham Dr. NW,Gig Harbor,WA,USA,98332,53053,47.363989,-122.61809,Kirk Lamb,12,201608,201509,1,0," $5,740 ", $478 ,4
2571,00160000010QGmRAAW,,Marine Brokerage Services LLC,301 Sterling Park Terrance,Franklin,TN,USA,37069,47187,35.959327,-86.877014,JJ Aho,12,201608,201509,1,0," $5,740 ", $478 ,4
1406,00160000010Q4VcAAK,,David Jones Yacht Brokerage,PO Box 898,Rockport,ME,USA,04856,23013,44.18452,-69.07615,Jason White,10,201606,201509,0,2," $4,777 ", $478 ,4
3881,00160000010Q7FcAAK,,Maine Cat,P.O. Box 205,Bremen,ME,USA,04551,23015,44.010411,-69.440192,Jason White,2,201608,201607,1,0, $955 , $477 ,4
3844,0013200001FgRVlAAN,,Generation Boat Sales,4825 Sunrise Highway,Bohemia,NY,USA,11716,36103,40.75905,-73.103141,Jason White,3,201608,201606,1,0," $1,432 ", $477 ,4
3785,0013200001F3FOfAAN,,Miami Beach Yacht Sales LLC,6990 NW 25th St.,Miami,FL,USA,33122,12025,25.796956,-80.310028,Patrick Sullivan,4,201608,201605,1,0," $1,909 ", $477 ,4
3825,0013200001FgdedAAB,,"Naples Premier Yacht Sales, Inc.",780 5th Avenue South,Naples,FL,USA,34102,12021,26.141621,-81.796421,Julian Gowing,3,201608,201606,1,0," $1,432 ", $477 ,4
3453,00160000010Q4yZAAS,,Islands Marine Center,PO Box 88,Lopez Island,WA,USA,98261,53055,48.481655,-122.88271,ckelley,12,201608,201509,1,0," $5,728 ", $477 ,4
824,00160000017mTdeAAE,,Riverwalk Yacht Sales & Brokerage,1000 First Ave West Ste A,Bradenton,FL,USA,34205,12081,27.499213,-82.573007,Whit Hall,12,201608,201509,1,0," $5,723 ", $477 ,4
1798,00160000010Q6yrAAC,,Indoor Boat Storage Inc,26120 Birch Bluff rd,Excelsior,MN,USA,55331,27053,44.907459,-93.611067,Sarah Gregory,12,201608,201509,1,0," $5,718 ", $476 ,4
2491,00160000010Q67cAAC,,Lombardi Yacht Sales,PO Box 3817,North Myrtle Beach,SC,USA,29582,45051,33.838529,-78.660551,Brooks Mclean,12,201608,201509,1,0," $5,717 ", $476 ,4
672,00160000010Q5jkAAC,,Yachting Resources,2251 Trapp Ave.,Miami,FL,USA,33133,12025,25.73857,-80.231296,Whit Hall,12,201608,201509,1,0," $5,715 ", $476 ,4
1971,00160000010Q5ArAAK,,East Coast Marine,"888 Bay Way, Suite 2",Lanoka Harbor,NJ,USA,08734,34029,39.867898,-74.155192,Scott Rhodes,12,201608,201509,1,0," $5,715 ", $476 ,4
2116,00160000010Q6K1AAK,,Amity Harbor Marine Inc,30 Merrick Road YWY59432,Amityville,NY,USA,11701,36103,40.671684,-73.421992,Jason White,12,201608,201509,1,0," $5,715 ", $476 ,4
3219,00160000010Q7tzAAC,,Center Hill Marine Brokerage,18024 Smithville Hwy,Silver Point,TN,USA,38582,47141,36.09651,-85.74373,MWS,12,201608,201509,1,0," $5,714 ", $476 ,4
2973,00160000010Q4yyAAC,,Nestegg Marine,PO Box 405,Marinette,WI,USA,54143,55075,45.086805,-87.716311,Kirk Lamb,12,201608,201509,1,0," $5,713 ", $476 ,4
2990,00160000018sbqkAAA,,Racine Yacht Brokers,4210 Douglas St.,Racine,WI,USA,53402,55101,42.77316,-87.803674,Kirk Lamb,12,201608,201509,1,0," $5,713 ", $476 ,4
